	comment_text	class_name	clean	violence	sexual_content	hate_speech	substances	self_harm	terrorism	vulgarity	template_id
0	Elle a reçu un coup de tête clairement violent ce week-end. Toujours la même histoire.	violence	0	1	0	0	0	0	0	0	violence_fr_24
1	Elle a reçu des coups franchement violents avant-hier. C'est répétitif.	violence	0	1	0	0	0	0	0	0	violence_fr_15
2	Ce repas était vraiment délicieux, merci. Sérieux.	clean	1	0	0	0	0	0	0	0	clean_fr_27
3	Je pense sans arrêt à disparaître, ça devient épuisant. C'est grave.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_10
4	La photo qu'il a postée est jugée beaucoup trop suggestive. Toujours la même histoire.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_17
5	Ils ont partagé de la alcool fort pendant tout le boulot. Vraiment.	substances	0	0	0	0	1	0	0	0	substances_fr_13
6	Si tu recommences, je vais te frapper devant tout le monde.	violence	0	1	0	0	0	0	0	0	violence_fr_0
7	Tu as des conseils pour bien démarrer en météo ? C'est répétitif.	clean	1	0	0	0	0	0	0	0	clean_fr_13
8	Cette pub est limite, elle joue clairement sur le sous-entendu sexuel. Ça devient habituel.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_8
9	Join our fight, the revolution by force is near. You know the type.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_8
10	Foreigners should just stick to themselves, away from us. Nothing new.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_11
11	We will strike civilians to spread terror across the country. It's happening again.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_29
12	Send me a video of you undressing. Never seen anything like it.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_27
13	We need to strike hard and spread terror so they finally listen. I can't believe it.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_0
14	We're going to settle the score outside the next neighborhood. It sucks.	violence	0	1	0	0	0	0	0	0	violence_en_11
15	We're planning our vacation for next month. It's too much.	clean	1	0	0	0	0	0	0	0	clean_en_28
16	We're preparing a response the world will never forget. Nothing new.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_11
17	I'm learning Python right now, it's very interesting. It's a lot.	clean	1	0	0	0	0	0	0	0	clean_en_29
