	comment_text	label	class_name	language	toxic	severe_toxic	obscene	threat	insult	identity_hate
0	Bonjour, j'espère que tu vas bien aujourd'hui.	0	clean	fr	0	0	0	0	0	0
1	Le soleil brille et la journée est magnifique.	0	clean	fr	0	0	0	0	0	0
2	J'ai préparé une délicieuse recette de tarte aux pommes.	0	clean	fr	0	0	0	0	0	0
3	Merci beaucoup pour ton aide, c'était vraiment utile.	0	clean	fr	0	0	0	0	0	0
4	Je suis allé au marché ce matin, il y avait de beaux légumes frais.	0	clean	fr	0	0	0	0	0	0
5	Mon chien adore se promener dans le parc le dimanche.	0	clean	fr	0	0	0	0	0	0
6	J'ai terminé mon livre préféré hier soir, il était fantastique.	0	clean	fr	0	0	0	0	0	0
7	La réunion de demain est reportée à jeudi matin.	0	clean	fr	0	0	0	0	0	0
8	Félicitations pour ta promotion, tu le mérites vraiment !	0	clean	fr	0	0	0	0	0	0
9	J'ai visité un musée incroyable pendant mes vacances.	0	clean	fr	0	0	0	0	0	0
10	Les enfants jouent dans le jardin, c'est tellement mignon.	0	clean	fr	0	0	0	0	0	0
11	Ce film était très bien réalisé, je le recommande vivement.	0	clean	fr	0	0	0	0	0	0
12	Nous avons organisé une belle fête d'anniversaire pour Marie.	0	clean	fr	0	0	0	0	0	0
13	Le professeur a expliqué le cours de manière très claire.	0	clean	fr	0	0	0	0	0	0
14	J'adore lire des romans de science-fiction le week-end.	0	clean	fr	0	0	0	0	0	0
15	La musique classique me détend après une longue journée.	0	clean	fr	0	0	0	0	0	0
16	Notre équipe a gagné le match de football hier soir.	0	clean	fr	0	0	0	0	0	0
17	Je prépare mon mémoire de master sur l'intelligence artificielle.	0	clean	fr	0	0	0	0	0	0
18	Les fleurs dans mon jardin commencent à s'épanouir.	0	clean	fr	0	0	0	0	0	0
19	Bonne chance pour ton examen de demain, tu vas réussir !	0	clean	fr	0	0	0	0	0	0
20	Hello, I hope you're having a wonderful day today.	0	clean	en	0	0	0	0	0	0
21	The weather is beautiful and the birds are singing.	0	clean	en	0	0	0	0	0	0
22	I just finished baking a delicious chocolate cake.	0	clean	en	0	0	0	0	0	0
23	Thank you so much for your help, it was really appreciated.	0	clean	en	0	0	0	0	0	0
24	I went to the farmers market this morning, great vegetables.	0	clean	en	0	0	0	0	0	0
